,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A
5860,2,1,3,4,4,3,2,2,3,3,3,4,5,3,5,3,1,5,4,4
61638,4,1,1,1,1,1,1,1,5,4,1,5,1,4,5,1,5,1,5,2
33684,5,5,2,3,5,2,2,2,1,4,1,5,4,2,3,2,2,5,5,5
32572,2,4,3,4,2,3,4,2,3,5,1,5,2,1,2,2,1,4,5,4
2493,2,4,4,2,3,3,3,4,5,4,2,2,1,2,3,3,2,4,3,4
49847,2,4,2,2,5,4,3,5,4,4,4,5,5,1,3,1,1,2,5,1
69869,5,4,4,4,5,4,1,3,5,4,2,5,4,2,5,4,5,3,2,1
63424,3,3,4,3,4,3,3,1,5,5,2,3,1,3,1,4,5,4,3,1
67331,3,2,2,4,1,2,2,4,4,2,2,4,1,1,1,2,1,5,5,4
35620,3,5,1,1,5,1,1,3,1,1,1,5,1,1,3,1,3,5,5,3
36776,1,2,5,4,5,5,1,1,5,5,2,4,1,4,1,1,5,5,5,1
3080,3,5,5,2,4,2,1,4,4,2,1,5,2,2,5,2,2,4,5,5
24228,3,4,4,3,5,3,1,5,5,3,1,5,2,1,4,4,2,4,4,2
55952,1,1,5,5,1,4,4,1,5,5,5,2,1,5,2,4,5,2,3,1
28745,2,2,2,4,4,4,2,1,3,4,2,2,4,3,4,4,3,4,4,2
21669,2,5,3,1,5,3,3,5,5,2,1,4,5,1,5,1,4,5,5,3
66719,3,4,2,2,2,1,1,4,3,2,1,2,2,1,4,1,3,5,5,1
5199,2,4,1,1,2,4,1,5,4,2,1,4,5,1,2,1,1,4,5,2
11538,4,4,1,1,5,1,1,4,4,4,1,4,5,1,3,1,1,5,5,1
37035,5,4,1,1,5,2,1,5,2,1,1,5,1,1,5,1,1,5,5,1
27881,1,2,1,1,4,2,1,4,5,4,1,4,1,1,5,4,1,2,5,2
57010,1,1,5,4,2,2,2,1,5,5,5,1,1,4,2,4,3,4,5,1
63599,4,1,2,3,3,3,1,5,2,1,1,5,4,1,1,2,3,5,5,1
55000,5,4,5,1,5,4,1,4,4,1,1,5,4,1,5,2,1,5,5,3
58774,2,4,2,2,3,1,2,3,4,4,2,4,2,2,5,1,2,5,5,1
31475,1,1,4,1,4,2,1,1,5,2,1,5,4,1,5,4,5,2,5,2
32562,4,4,4,3,5,1,2,2,5,2,1,3,2,2,5,1,2,5,5,4
63631,1,4,2,5,4,1,1,1,4,2,2,2,1,2,5,5,3,2,2,1
58901,5,4,5,2,3,2,1,4,4,2,1,5,2,1,5,1,5,5,5,3
3306,5,5,1,2,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5
8441,1,1,5,2,3,5,4,4,5,5,3,4,2,1,1,1,2,2,2,1
54970,4,5,2,2,4,1,1,3,2,4,1,4,4,3,5,1,2,4,5,2
32847,3,3,5,2,5,1,1,4,5,2,1,5,4,2,5,1,1,4,5,3
68773,5,4,1,1,5,1,5,5,2,2,3,1,4,1,4,1,5,4,4,5
43571,4,4,2,2,5,2,1,5,3,2,1,4,5,1,4,5,1,4,5,3
14401,5,5,2,1,5,2,4,5,3,5,1,5,5,1,5,1,1,2,5,4
38929,4,5,5,1,5,2,2,5,5,4,1,4,5,2,4,4,4,5,4,5
53592,5,5,2,3,2,3,1,2,3,1,3,4,5,1,4,1,2,4,5,4
32436,4,5,4,3,4,1,1,4,2,1,1,5,4,2,5,1,1,4,5,4
25222,2,1,3,2,1,3,4,2,2,4,2,4,4,4,2,4,3,2,5,5
45125,5,5,2,5,4,1,1,2,1,1,1,2,4,1,5,4,1,5,5,4
58670,5,3,3,2,4,1,1,4,4,2,4,5,1,1,5,1,1,4,5,5
29700,5,4,5,1,5,5,4,5,5,5,1,5,5,2,1,5,1,1,3,1
44690,4,5,3,4,4,2,1,4,5,3,1,5,5,2,5,1,3,4,5,3
24433,1,1,5,4,2,5,5,3,5,5,3,1,1,4,1,5,1,1,5,1
49871,1,1,5,4,1,2,2,2,5,5,3,4,2,2,3,1,5,4,5,1
63492,3,4,2,3,4,1,1,4,4,5,3,4,1,3,5,1,1,5,5,3
30999,4,2,1,2,5,1,1,4,5,3,1,4,1,2,1,1,5,5,5,1
12409,4,5,5,2,4,4,2,5,5,5,1,5,3,1,5,1,4,2,5,5
2968,2,3,4,1,4,3,2,4,3,5,1,2,5,3,1,1,1,4,4,1
23642,2,4,3,4,4,2,2,4,4,5,3,5,1,2,3,1,1,4,5,1
56765,1,1,2,3,3,5,5,2,5,1,1,4,1,3,4,3,1,2,5,1
43376,1,1,4,2,2,1,1,1,5,5,1,3,1,3,3,2,4,4,5,1
36594,5,5,4,1,2,2,2,4,2,1,3,5,4,3,5,2,1,5,4,1
23141,5,5,2,1,4,1,2,5,2,1,2,5,5,1,4,1,1,4,5,2
68175,4,5,2,1,2,3,2,1,4,5,2,4,3,1,4,2,3,5,5,3
69197,5,1,5,3,1,5,5,5,5,5,2,5,1,3,1,5,3,1,3,1
37897,1,2,5,4,2,5,4,4,5,4,2,1,1,3,2,4,1,4,4,1
9069,2,2,2,4,2,5,2,1,5,4,4,1,1,4,3,5,4,2,4,1
68243,1,4,5,3,3,4,5,5,5,4,2,3,2,2,2,4,4,2,2,1
64054,1,1,1,5,5,5,3,1,5,1,2,5,5,1,5,1,1,3,5,1
24163,1,4,5,2,2,2,4,3,5,4,4,1,1,5,3,5,3,1,5,1
18875,4,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,2,4,4,2
20540,4,5,5,4,5,2,3,2,3,4,1,2,4,2,3,2,1,4,5,3
43255,3,2,2,5,2,2,1,1,5,5,2,1,1,1,2,5,4,1,5,1
40055,5,5,2,1,5,2,1,1,2,3,1,5,4,1,5,1,1,5,5,3
61640,2,1,2,2,3,4,4,3,5,3,1,1,3,2,4,2,1,4,4,3
21899,5,5,1,1,5,1,1,5,1,5,2,5,5,3,5,4,1,5,5,5
36058,2,2,3,2,2,1,1,3,4,3,1,4,2,2,4,1,3,4,4,3
35585,4,1,2,2,2,2,1,1,3,4,1,4,1,3,1,1,2,4,4,3
4745,4,5,3,2,4,3,2,3,1,4,2,5,4,1,2,2,1,3,4,2
43268,5,5,1,1,4,1,1,5,1,1,1,5,5,1,5,1,2,5,5,4
114,4,4,4,4,4,4,2,4,5,3,3,4,3,3,4,4,2,2,2,1
19846,1,4,1,3,5,2,1,4,3,1,1,5,4,1,4,1,1,2,5,4
53021,3,2,1,3,2,4,2,3,4,4,1,4,4,1,3,2,1,4,5,4
5011,4,4,2,1,4,3,1,5,3,3,3,4,5,2,3,2,1,5,4,5
53055,5,5,1,3,4,1,1,4,3,2,1,4,2,1,5,1,1,4,5,1
38709,4,4,3,1,4,2,4,4,2,3,2,4,3,2,5,1,2,3,5,2
652,1,1,4,5,2,4,4,2,5,5,3,2,1,4,2,1,2,2,4,1
19777,4,4,1,1,4,1,1,2,2,2,1,5,5,1,3,1,1,5,5,5
14982,2,1,2,3,5,1,1,2,5,3,1,5,4,2,2,1,5,4,5,1
30265,5,5,3,3,2,1,2,4,3,2,2,5,1,1,4,1,3,3,5,3
60313,3,1,4,2,5,5,3,4,5,4,2,4,3,1,1,2,4,3,4,4
69435,4,4,2,4,4,4,2,4,5,2,2,5,1,1,4,1,3,4,5,4
40969,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,2
10132,5,5,2,2,5,1,2,5,4,2,2,5,5,1,5,1,5,5,4,5
58591,2,2,5,4,1,4,4,2,4,5,1,4,1,4,4,2,3,4,4,1
30579,4,5,1,3,2,1,2,1,4,3,1,4,1,1,4,1,1,4,5,1
12079,2,4,2,3,3,4,1,1,4,3,3,2,4,3,4,2,2,4,2,3
65228,5,3,5,2,5,2,2,3,4,4,3,4,5,1,5,2,2,4,5,1
