,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
5860,2,1,3,4,4,3,2,2,3,3,3,4,5,3,5,3,1,5,4,4,4
61638,4,1,1,1,1,1,1,1,5,4,1,5,1,4,5,1,5,1,5,2,4
33684,5,5,2,3,5,2,2,2,1,4,1,5,4,2,3,2,2,5,5,5,3
32572,2,4,3,4,2,3,4,2,3,5,1,5,2,1,2,2,1,4,5,4,4
2493,2,4,4,2,3,3,3,4,5,4,2,2,1,2,3,3,2,4,3,4,1
49847,2,4,2,2,5,4,3,5,4,4,4,5,5,1,3,1,1,2,5,1,4
69869,5,4,4,4,5,4,1,3,5,4,2,5,4,2,5,4,5,3,2,1,4
63424,3,3,4,3,4,3,3,1,5,5,2,3,1,3,1,4,5,4,3,1,2
67331,3,2,2,4,1,2,2,4,4,2,2,4,1,1,1,2,1,5,5,4,4
35620,3,5,1,1,5,1,1,3,1,1,1,5,1,1,3,1,3,5,5,3,3
36776,1,2,5,4,5,5,1,1,5,5,2,4,1,4,1,1,5,5,5,1,2
3080,3,5,5,2,4,2,1,4,4,2,1,5,2,2,5,2,2,4,5,5,3
24228,3,4,4,3,5,3,1,5,5,3,1,5,2,1,4,4,2,4,4,2,4
55952,1,1,5,5,1,4,4,1,5,5,5,2,1,5,2,4,5,2,3,1,2
28745,2,2,2,4,4,4,2,1,3,4,2,2,4,3,4,4,3,4,4,2,4
21669,2,5,3,1,5,3,3,5,5,2,1,4,5,1,5,1,4,5,5,3,4
66719,3,4,2,2,2,1,1,4,3,2,1,2,2,1,4,1,3,5,5,1,4
5199,2,4,1,1,2,4,1,5,4,2,1,4,5,1,2,1,1,4,5,2,4
11538,4,4,1,1,5,1,1,4,4,4,1,4,5,1,3,1,1,5,5,1,4
37035,5,4,1,1,5,2,1,5,2,1,1,5,1,1,5,1,1,5,5,1,3
27881,1,2,1,1,4,2,1,4,5,4,1,4,1,1,5,4,1,2,5,2,4
57010,1,1,5,4,2,2,2,1,5,5,5,1,1,4,2,4,3,4,5,1,2
63599,4,1,2,3,3,3,1,5,2,1,1,5,4,1,1,2,3,5,5,1,4
55000,5,4,5,1,5,4,1,4,4,1,1,5,4,1,5,2,1,5,5,3,3
58774,2,4,2,2,3,1,2,3,4,4,2,4,2,2,5,1,2,5,5,1,4
31475,1,1,4,1,4,2,1,1,5,2,1,5,4,1,5,4,5,2,5,2,4
32562,4,4,4,3,5,1,2,2,5,2,1,3,2,2,5,1,2,5,5,4,4
63631,1,4,2,5,4,1,1,1,4,2,2,2,1,2,5,5,3,2,2,1,4
58901,5,4,5,2,3,2,1,4,4,2,1,5,2,1,5,1,5,5,5,3,3
3306,5,5,1,2,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,3
8441,1,1,5,2,3,5,4,4,5,5,3,4,2,1,1,1,2,2,2,1,2
54970,4,5,2,2,4,1,1,3,2,4,1,4,4,3,5,1,2,4,5,2,3
32847,3,3,5,2,5,1,1,4,5,2,1,5,4,2,5,1,1,4,5,3,3
68773,5,4,1,1,5,1,5,5,2,2,3,1,4,1,4,1,5,4,4,5,3
43571,4,4,2,2,5,2,1,5,3,2,1,4,5,1,4,5,1,4,5,3,3
14401,5,5,2,1,5,2,4,5,3,5,1,5,5,1,5,1,1,2,5,4,3
38929,4,5,5,1,5,2,2,5,5,4,1,4,5,2,4,4,4,5,4,5,4
53592,5,5,2,3,2,3,1,2,3,1,3,4,5,1,4,1,2,4,5,4,4
32436,4,5,4,3,4,1,1,4,2,1,1,5,4,2,5,1,1,4,5,4,3
25222,2,1,3,2,1,3,4,2,2,4,2,4,4,4,2,4,3,2,5,5,1
45125,5,5,2,5,4,1,1,2,1,1,1,2,4,1,5,4,1,5,5,4,3
58670,5,3,3,2,4,1,1,4,4,2,4,5,1,1,5,1,1,4,5,5,3
29700,5,4,5,1,5,5,4,5,5,5,1,5,5,2,1,5,1,1,3,1,1
44690,4,5,3,4,4,2,1,4,5,3,1,5,5,2,5,1,3,4,5,3,3
24433,1,1,5,4,2,5,5,3,5,5,3,1,1,4,1,5,1,1,5,1,2
49871,1,1,5,4,1,2,2,2,5,5,3,4,2,2,3,1,5,4,5,1,2
63492,3,4,2,3,4,1,1,4,4,5,3,4,1,3,5,1,1,5,5,3,4
