,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
0,3,3,5,2,3,1,2,4,3,3,1,5,4,1,5,2,4,4,4,4,0
1,5,5,1,3,5,1,1,4,2,1,1,5,5,2,5,1,2,4,5,3,0
2,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,3,0
3,2,4,2,1,5,1,3,2,4,2,1,5,1,1,4,1,1,5,3,4,3
4,5,5,2,1,2,1,2,4,2,2,1,4,4,1,5,1,1,4,5,1,0
5,4,3,5,3,4,3,3,3,2,2,1,4,4,1,5,1,1,5,4,2,0
6,3,3,2,4,3,3,2,4,4,3,3,2,4,2,4,1,3,4,5,1,3
7,4,4,3,2,5,4,1,5,4,2,2,5,1,3,4,2,1,4,5,4,1
8,5,5,3,1,4,1,1,3,5,5,1,4,3,1,4,2,1,5,5,5,0
9,5,4,3,5,4,4,3,2,5,2,1,2,2,1,5,5,3,4,5,2,1
10,5,5,1,1,5,2,1,2,3,4,1,5,4,1,4,1,2,5,5,5,0
11,4,2,3,4,4,4,2,1,4,4,1,4,4,2,1,2,2,4,5,2,3
12,5,5,5,3,5,1,1,5,3,5,1,5,5,1,5,1,1,5,5,1,0
13,4,4,2,1,5,2,2,1,2,3,1,5,2,1,5,2,4,2,5,4,0
14,4,5,2,1,5,1,2,5,1,2,1,5,4,2,4,2,3,5,4,3,0
15,2,4,4,4,2,4,2,4,5,4,1,2,1,1,4,1,3,4,5,1,3
16,4,1,4,1,4,5,5,3,5,3,1,4,2,1,1,4,1,4,5,1,1
17,2,2,4,3,4,2,4,3,5,4,2,5,1,4,3,2,3,3,5,1,3
18,3,4,1,5,5,1,3,1,3,5,3,3,1,1,3,1,2,5,3,5,3
19,5,5,1,1,5,1,1,4,3,2,1,5,5,1,4,1,2,5,5,4,0
20,5,5,3,1,5,2,1,2,2,2,1,5,5,2,5,1,1,5,5,1,0
21,5,5,1,1,4,1,4,5,1,5,1,4,5,1,5,4,1,5,5,3,0
22,5,4,1,2,1,2,1,3,4,1,2,4,4,2,5,2,3,4,5,3,0
23,4,1,4,2,4,1,5,5,3,2,4,5,5,2,4,1,4,1,3,1,1
24,5,5,1,1,5,2,2,4,4,1,1,5,5,1,5,1,1,5,5,2,0
25,3,3,5,2,4,2,2,5,3,3,3,5,3,2,4,2,2,2,5,3,1
26,1,1,4,3,3,5,4,1,5,4,2,2,1,4,2,5,5,1,1,1,2
27,4,4,2,1,4,1,1,5,2,2,1,2,3,1,4,1,2,3,5,1,0
28,3,2,4,5,1,5,4,1,5,5,3,1,1,3,2,1,1,4,5,1,2
29,5,5,1,1,5,1,1,2,2,3,1,5,3,1,4,2,3,1,5,1,0
30,4,4,2,2,3,1,2,4,2,3,1,4,3,1,4,4,3,4,5,3,0
31,2,5,4,4,4,4,2,4,4,4,2,4,1,2,4,4,2,2,4,2,1
32,2,4,3,4,3,3,2,4,5,4,2,5,2,3,3,2,1,4,5,4,1
33,3,1,4,1,4,2,2,1,5,3,2,4,2,2,1,2,3,2,5,1,3
34,5,5,3,4,3,1,2,3,3,2,3,4,4,1,5,2,1,3,5,2,0
35,2,2,3,1,2,2,1,3,5,4,3,3,2,1,2,1,3,3,1,3,3
36,5,5,3,3,5,3,1,5,3,1,1,3,5,1,4,1,1,5,3,5,0
37,3,4,1,4,2,1,1,4,4,2,1,5,2,1,1,1,2,5,5,1,3
38,5,2,3,1,4,2,2,4,3,1,1,4,1,1,1,5,5,4,3,3,1
39,4,5,1,2,5,1,1,5,2,2,1,2,5,1,5,1,1,4,5,5,0
40,2,5,4,2,4,2,1,1,5,5,2,4,5,2,2,1,4,2,5,1,3
41,5,5,2,2,5,5,1,5,5,5,1,5,5,1,1,1,1,5,3,5,1
42,5,5,3,1,5,1,1,4,3,1,2,5,3,1,5,2,1,5,5,2,0
43,1,5,1,4,4,3,3,1,4,5,1,4,3,1,5,1,5,5,5,1,3
44,2,1,4,1,5,1,1,5,4,4,1,5,5,1,5,1,1,5,3,1,0
45,4,4,4,2,3,4,2,3,5,4,2,4,4,2,5,1,1,4,5,2,1
46,3,4,4,1,3,1,1,4,3,3,1,5,4,3,4,4,1,3,5,3,0
47,4,2,3,4,4,4,2,4,5,3,1,4,1,4,4,3,3,4,5,4,1
48,5,4,1,3,4,5,1,1,3,1,1,1,4,2,5,5,3,3,4,5,1
49,4,5,4,3,5,4,2,5,4,2,3,3,3,3,5,4,3,4,5,4,1
50,1,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
51,5,5,5,3,5,5,5,5,5,5,1,5,4,1,1,5,1,5,5,4,1
52,4,5,1,2,4,1,1,4,2,1,1,5,4,1,4,2,1,5,5,5,0
53,4,5,1,4,4,1,1,1,2,2,1,5,4,1,4,2,2,5,4,1,0
54,2,4,3,5,3,4,5,2,5,4,3,2,2,2,2,4,3,1,3,1,2
55,5,1,4,2,4,2,5,2,3,1,1,5,1,1,4,5,4,4,4,4,1
56,5,4,2,1,5,4,2,4,4,2,1,5,5,2,5,2,4,5,5,5,0
57,1,1,2,1,5,1,1,1,5,1,1,5,5,1,3,1,5,2,5,1,3
58,1,1,3,1,5,4,3,1,5,5,1,5,1,1,4,1,1,5,5,1,3
59,4,3,5,2,5,5,2,2,5,4,1,4,4,1,4,1,4,4,3,2,1
