,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
5860,2,1,3,4,4,3,2,2,3,3,3,4,5,3,5,3,1,5,4,4,1
61638,4,1,1,1,1,1,1,1,5,4,1,5,1,4,5,1,5,1,5,2,0
33684,5,5,2,3,5,2,2,2,1,4,1,5,4,2,3,2,2,5,5,5,1
32572,2,4,3,4,2,3,4,2,3,5,1,5,2,1,2,2,1,4,5,4,0
2493,2,4,4,2,3,3,3,4,5,4,2,2,1,2,3,3,2,4,3,4,0
49847,2,4,2,2,5,4,3,5,4,4,4,5,5,1,3,1,1,2,5,1,1
69869,5,4,4,4,5,4,1,3,5,4,2,5,4,2,5,4,5,3,2,1,1
63424,3,3,4,3,4,3,3,1,5,5,2,3,1,3,1,4,5,4,3,1,0
67331,3,2,2,4,1,2,2,4,4,2,2,4,1,1,1,2,1,5,5,4,1
35620,3,5,1,1,5,1,1,3,1,1,1,5,1,1,3,1,3,5,5,3,1
36776,1,2,5,4,5,5,1,1,5,5,2,4,1,4,1,1,5,5,5,1,0
3080,3,5,5,2,4,2,1,4,4,2,1,5,2,2,5,2,2,4,5,5,1
24228,3,4,4,3,5,3,1,5,5,3,1,5,2,1,4,4,2,4,4,2,1
55952,1,1,5,5,1,4,4,1,5,5,5,2,1,5,2,4,5,2,3,1,0
28745,2,2,2,4,4,4,2,1,3,4,2,2,4,3,4,4,3,4,4,2,0
21669,2,5,3,1,5,3,3,5,5,2,1,4,5,1,5,1,4,5,5,3,1
66719,3,4,2,2,2,1,1,4,3,2,1,2,2,1,4,1,3,5,5,1,1
5199,2,4,1,1,2,4,1,5,4,2,1,4,5,1,2,1,1,4,5,2,1
11538,4,4,1,1,5,1,1,4,4,4,1,4,5,1,3,1,1,5,5,1,1
37035,5,4,1,1,5,2,1,5,2,1,1,5,1,1,5,1,1,5,5,1,1
27881,1,2,1,1,4,2,1,4,5,4,1,4,1,1,5,4,1,2,5,2,0
57010,1,1,5,4,2,2,2,1,5,5,5,1,1,4,2,4,3,4,5,1,0
63599,4,1,2,3,3,3,1,5,2,1,1,5,4,1,1,2,3,5,5,1,1
55000,5,4,5,1,5,4,1,4,4,1,1,5,4,1,5,2,1,5,5,3,1
58774,2,4,2,2,3,1,2,3,4,4,2,4,2,2,5,1,2,5,5,1,1
31475,1,1,4,1,4,2,1,1,5,2,1,5,4,1,5,4,5,2,5,2,0
32562,4,4,4,3,5,1,2,2,5,2,1,3,2,2,5,1,2,5,5,4,1
63631,1,4,2,5,4,1,1,1,4,2,2,2,1,2,5,5,3,2,2,1,0
58901,5,4,5,2,3,2,1,4,4,2,1,5,2,1,5,1,5,5,5,3,1
3306,5,5,1,2,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
8441,1,1,5,2,3,5,4,4,5,5,3,4,2,1,1,1,2,2,2,1,0
54970,4,5,2,2,4,1,1,3,2,4,1,4,4,3,5,1,2,4,5,2,1
32847,3,3,5,2,5,1,1,4,5,2,1,5,4,2,5,1,1,4,5,3,1
68773,5,4,1,1,5,1,5,5,2,2,3,1,4,1,4,1,5,4,4,5,1
43571,4,4,2,2,5,2,1,5,3,2,1,4,5,1,4,5,1,4,5,3,1
14401,5,5,2,1,5,2,4,5,3,5,1,5,5,1,5,1,1,2,5,4,1
38929,4,5,5,1,5,2,2,5,5,4,1,4,5,2,4,4,4,5,4,5,1
53592,5,5,2,3,2,3,1,2,3,1,3,4,5,1,4,1,2,4,5,4,1
32436,4,5,4,3,4,1,1,4,2,1,1,5,4,2,5,1,1,4,5,4,1
25222,2,1,3,2,1,3,4,2,2,4,2,4,4,4,2,4,3,2,5,5,0
45125,5,5,2,5,4,1,1,2,1,1,1,2,4,1,5,4,1,5,5,4,1
58670,5,3,3,2,4,1,1,4,4,2,4,5,1,1,5,1,1,4,5,5,1
29700,5,4,5,1,5,5,4,5,5,5,1,5,5,2,1,5,1,1,3,1,1
44690,4,5,3,4,4,2,1,4,5,3,1,5,5,2,5,1,3,4,5,3,1
24433,1,1,5,4,2,5,5,3,5,5,3,1,1,4,1,5,1,1,5,1,0
49871,1,1,5,4,1,2,2,2,5,5,3,4,2,2,3,1,5,4,5,1,0
63492,3,4,2,3,4,1,1,4,4,5,3,4,1,3,5,1,1,5,5,3,1
30999,4,2,1,2,5,1,1,4,5,3,1,4,1,2,1,1,5,5,5,1,1
12409,4,5,5,2,4,4,2,5,5,5,1,5,3,1,5,1,4,2,5,5,1
2968,2,3,4,1,4,3,2,4,3,5,1,2,5,3,1,1,1,4,4,1,1
23642,2,4,3,4,4,2,2,4,4,5,3,5,1,2,3,1,1,4,5,1,0
56765,1,1,2,3,3,5,5,2,5,1,1,4,1,3,4,3,1,2,5,1,0
43376,1,1,4,2,2,1,1,1,5,5,1,3,1,3,3,2,4,4,5,1,0
36594,5,5,4,1,2,2,2,4,2,1,3,5,4,3,5,2,1,5,4,1,1
23141,5,5,2,1,4,1,2,5,2,1,2,5,5,1,4,1,1,4,5,2,1
68175,4,5,2,1,2,3,2,1,4,5,2,4,3,1,4,2,3,5,5,3,1
69197,5,1,5,3,1,5,5,5,5,5,2,5,1,3,1,5,3,1,3,1,0
37897,1,2,5,4,2,5,4,4,5,4,2,1,1,3,2,4,1,4,4,1,0
9069,2,2,2,4,2,5,2,1,5,4,4,1,1,4,3,5,4,2,4,1,0
68243,1,4,5,3,3,4,5,5,5,4,2,3,2,2,2,4,4,2,2,1,0
64054,1,1,1,5,5,5,3,1,5,1,2,5,5,1,5,1,1,3,5,1,0
24163,1,4,5,2,2,2,4,3,5,4,4,1,1,5,3,5,3,1,5,1,0
18875,4,4,4,4,4,4,2,4,4,2,2,2,2,2,4,4,2,4,4,2,1
20540,4,5,5,4,5,2,3,2,3,4,1,2,4,2,3,2,1,4,5,3,1
43255,3,2,2,5,2,2,1,1,5,5,2,1,1,1,2,5,4,1,5,1,0
40055,5,5,2,1,5,2,1,1,2,3,1,5,4,1,5,1,1,5,5,3,1
61640,2,1,2,2,3,4,4,3,5,3,1,1,3,2,4,2,1,4,4,3,0
21899,5,5,1,1,5,1,1,5,1,5,2,5,5,3,5,4,1,5,5,5,1
36058,2,2,3,2,2,1,1,3,4,3,1,4,2,2,4,1,3,4,4,3,1
35585,4,1,2,2,2,2,1,1,3,4,1,4,1,3,1,1,2,4,4,3,0
4745,4,5,3,2,4,3,2,3,1,4,2,5,4,1,2,2,1,3,4,2,1
43268,5,5,1,1,4,1,1,5,1,1,1,5,5,1,5,1,2,5,5,4,0
114,4,4,4,4,4,4,2,4,5,3,3,4,3,3,4,4,2,2,2,1,1
19846,1,4,1,3,5,2,1,4,3,1,1,5,4,1,4,1,1,2,5,4,1
53021,3,2,1,3,2,4,2,3,4,4,1,4,4,1,3,2,1,4,5,4,1
5011,4,4,2,1,4,3,1,5,3,3,3,4,5,2,3,2,1,5,4,5,1
53055,5,5,1,3,4,1,1,4,3,2,1,4,2,1,5,1,1,4,5,1,1
38709,4,4,3,1,4,2,4,4,2,3,2,4,3,2,5,1,2,3,5,2,1
652,1,1,4,5,2,4,4,2,5,5,3,2,1,4,2,1,2,2,4,1,0
19777,4,4,1,1,4,1,1,2,2,2,1,5,5,1,3,1,1,5,5,5,1
14982,2,1,2,3,5,1,1,2,5,3,1,5,4,2,2,1,5,4,5,1,1
30265,5,5,3,3,2,1,2,4,3,2,2,5,1,1,4,1,3,3,5,3,1
60313,3,1,4,2,5,5,3,4,5,4,2,4,3,1,1,2,4,3,4,4,1
69435,4,4,2,4,4,4,2,4,5,2,2,5,1,1,4,1,3,4,5,4,1
40969,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,2,1
10132,5,5,2,2,5,1,2,5,4,2,2,5,5,1,5,1,5,5,4,5,1
58591,2,2,5,4,1,4,4,2,4,5,1,4,1,4,4,2,3,4,4,1,0
30579,4,5,1,3,2,1,2,1,4,3,1,4,1,1,4,1,1,4,5,1,1
12079,2,4,2,3,3,4,1,1,4,3,3,2,4,3,4,2,2,4,2,3,1
65228,5,3,5,2,5,2,2,3,4,4,3,4,5,1,5,2,2,4,5,1,1
40453,5,5,1,4,5,1,1,4,1,1,1,5,5,1,5,1,1,5,5,4,1
55071,5,5,1,3,4,1,1,5,3,1,1,5,5,3,5,5,1,5,5,1,1
30868,1,1,5,5,4,5,2,1,3,5,1,5,1,1,4,1,3,2,3,1,0
30716,2,5,5,5,2,4,5,1,5,4,1,5,2,4,4,3,3,3,5,1,0
57614,1,1,5,5,1,4,5,1,5,5,3,1,1,5,4,2,5,1,3,1,0
28493,5,4,3,5,5,2,2,5,5,5,1,5,4,3,4,4,1,4,5,2,1
